Date,A,B,C,D,E
2020/4/24 05:55,7,1,-6.2,28,27
2020/4/24 05:56,7,0,-6.2,28,27
2020/4/24 05:57,7,0,-6.2,28,27
2020/4/24 05:58,5,0,-6.2,28,27
2020/4/24 05:59,6,0,-6.2,28,28
2020/4/24 06:00,8,3,-6.2,28,28
2020/4/24 06:01,8,-1,-6.2,28,28
2020/4/24 06:02,8,0,-6.2,28,27
2020/4/24 06:03,8,0,-6.2,28,27
2020/4/24 06:04,10,6,-6.2,28,27
2020/4/24 06:05,7,2,-6.2,28,27
2020/4/24 06:06,6,1,-6.2,28,27
2020/4/24 06:07,7,1,-6.2,28,27
2020/4/24 06:08,7,2,-6.2,28,27
2020/4/24 06:09,6,0,-6.2,28,27
2020/4/24 06:10,7,3,-6.2,28,27
2020/4/24 06:11,8,2,-6.2,28,27
2020/4/24 06:12,8,1,-6.3,28,27
2020/4/24 06:13,7,2,-6.3,28,27
2020/4/24 06:14,7,-1,-6.2,28,27
2020/4/24 06:15,10,2,-6.2,28,27
2020/4/24 06:16,8,4,-6.2,28,27
2020/4/24 06:17,8,0,-6.2,28,27
2020/4/24 06:18,8,-1,-6.2,28,27
2020/4/24 06:19,7,1,-6.2,28,27
2020/4/24 06:20,6,2,-6.2,28,27
2020/4/24 06:21,9,-2,-6.1,28,27
2020/4/24 06:22,7,-1,-6.2,28,27
2020/4/24 06:23,5,-1,-6.2,28,27
2020/4/24 06:24,8,3,-6.1,28,27
2020/4/24 06:25,5,0,-6.2,28,27
2020/4/24 06:26,3,2,-6.2,28,27
2020/4/24 06:27,6,2,-6.2,28,27
2020/4/24 06:28,8,0,-6.2,28,27
2020/4/24 06:29,8,4,-6.2,28,27
2020/4/24 06:30,7,1,-6.1,28,27
2020/4/24 06:31,9,4,-6.2,28,27
2020/4/24 06:32,8,2,-6.2,28,27
2020/4/24 06:33,7,3,-6.2,28,27
2020/4/24 06:34,9,4,-6.2,28,27
2020/4/24 06:35,8,3,-6.2,28,27
2020/4/24 06:36,8,0,-6.2,28,27
2020/4/24 06:37,6,2,-6.2,28,27
2020/4/24 06:38,7,-1,-6.2,28,27
2020/4/24 06:39,6,3,-6.2,28,27
2020/4/24 06:40,7,1,-6.2,28,27
2020/4/24 06:41,6,1,-6.2,28,27
2020/4/24 06:42,8,0,-6.2,28,27
2020/4/24 06:43,8,-1,-6.3,28,27
2020/4/24 06:44,6,-1,-6.2,28,27
2020/4/24 06:45,9,0,-6.2,28,27
2020/4/24 06:46,7,7,-6.2,28,27
2020/4/24 06:47,7,1,-6.3,28,27
2020/4/24 06:48,8,2,-6.2,28,27
2020/4/24 06:49,7,-1,-6.3,28,27
2020/4/24 06:50,5,1,-6.3,28,27
2020/4/24 06:51,8,2,-6.1,28,27
2020/4/24 06:52,8,2,-6.3,28,27
2020/4/24 06:53,7,-2,-6.2,28,28
2020/4/24 06:54,7,0,-6.2,28,28
2020/4/24 06:55,5,1,-6.2,28,28
2020/4/24 06:56,9,1,-6.2,28,27
2020/4/24 06:57,7,2,-6.3,28,27
2020/4/24 06:58,5,3,-6.2,28,27
2020/4/24 06:59,8,3,-6.2,28,27
2020/4/24 07:00,7,0,-6.2,28,27
2020/4/24 07:01,7,2,-6.3,28,27
2020/4/24 07:02,8,1,-6.2,28,27
2020/4/24 07:03,7,1,-6.2,28,27
2020/4/24 07:04,8,0,-6.1,28,27
2020/4/24 07:05,7,-2,-6.2,28,27
2020/4/24 07:06,8,2,-6.2,28,27
2020/4/24 07:07,8,-1,-6.2,28,27
2020/4/24 07:08,8,3,-6.3,28,27
2020/4/24 07:09,7,1,-6.3,28,27
2020/4/24 07:10,9,2,-6.3,28,27
2020/4/24 07:11,7,-2,-6.2,28,27
2020/4/24 07:12,5,3,-6.2,28,27
2020/4/24 07:13,6,-2,-6.3,28,27
2020/4/24 07:14,5,1,-6.3,28,27
2020/4/24 07:15,8,1,-6.3,28,27
2020/4/24 07:16,9,2,-6.2,28,27
2020/4/24 07:17,4,4,-6.2,28,27
2020/4/24 07:18,8,-2,-6.3,28,27
2020/4/24 07:19,6,2,-6.3,28,27
2020/4/24 07:20,5,1,-6.3,28,27
2020/4/24 07:21,8,5,-6.2,28,27
2020/4/24 07:22,8,2,-6.2,28,27
2020/4/24 07:23,10,-1,-6.2,28,27
2020/4/24 07:24,8,-1,-6.2,28,27
2020/4/24 07:25,6,1,-6.3,28,27
2020/4/24 07:26,6,-2,-6.3,28,27
2020/4/24 07:27,7,-2,-6.2,28,27
2020/4/24 07:28,4,0,-6.3,28,27
2020/4/24 07:29,7,-1,-6.3,28,27
2020/4/24 07:30,9,2,-6.2,28,27
2020/4/24 07:31,10,1,-6.2,28,27
2020/4/24 07:32,8,4,-6.2,28,27
2020/4/24 07:33,6,-1,-6.2,28,27
2020/4/24 07:34,5,1,-6.1,28,27
2020/4/24 07:35,7,-1,-6.2,28,27
2020/4/24 07:36,6,2,-6.3,28,27
2020/4/24 07:37,8,-1,-6.2,28,27
2020/4/24 07:38,7,4,-6.2,28,27
2020/4/24 07:39,5,0,-6.2,28,27
2020/4/24 07:40,8,3,-6.2,28,27
2020/4/24 07:41,6,0,-6.3,28,27
2020/4/24 07:42,5,2,-6.2,28,27
2020/4/24 07:43,8,2,-6.3,28,27
2020/4/24 07:44,5,1,-6.4,28,27
2020/4/24 07:45,6,0,-6.3,28,27
2020/4/24 07:46,7,3,-6.3,28,27
2020/4/24 07:47,9,2,-6.1,28,27
2020/4/24 07:48,7,1,-6.2,28,27
2020/4/24 07:49,8,2,-6.2,28,28
2020/4/24 07:50,7,1,-6.3,28,28
2020/4/24 07:51,8,0,-6.1,28,27
2020/4/24 07:52,6,0,-6.2,28,27
2020/4/24 07:53,6,1,-6.3,28,27
2020/4/24 07:54,7,1,-6.3,28,27
2020/4/24 07:55,5,3,-6.3,28,27
2020/4/24 07:56,8,2,-6.2,28,27
2020/4/24 07:57,8,2,-6.2,28,27
2020/4/24 07:58,6,1,-6.3,28,27
2020/4/24 07:59,7,3,-6.3,28,27
2020/4/24 08:00,5,3,-6.2,28,27
2020/4/24 08:01,10,2,-6.2,28,27
2020/4/24 08:02,8,0,-6.2,28,27
2020/4/24 08:03,5,0,-6.1,28,27
2020/4/24 08:04,7,0,-6.2,28,27
2020/4/24 08:05,5,1,-6.3,28,27
2020/4/24 08:06,9,1,-6.2,28,27
2020/4/24 08:07,6,-1,-6.2,28,27
2020/4/24 08:08,8,-1,-6.2,28,27
2020/4/24 08:09,4,5,-6.2,28,27
2020/4/24 08:10,6,-1,-6.3,28,27
2020/4/24 08:11,9,1,-6.2,28,27
2020/4/24 08:12,7,2,-6.3,28,27
2020/4/24 08:13,8,0,-6.2,28,27
2020/4/24 08:14,6,3,-6.2,28,27
2020/4/24 08:15,6,1,-6.2,28,27
2020/4/24 08:16,11,0,-6.3,28,27
2020/4/24 08:17,4,1,-6.2,28,27
2020/4/24 08:18,3,1,-6.3,28,27
2020/4/24 08:19,9,-3,-6.2,28,27
2020/4/24 08:20,4,0,-6.2,28,27
2020/4/24 08:21,8,2,-6.2,28,27
2020/4/24 08:22,9,-1,-6.2,28,27
2020/4/24 08:23,8,4,-6.2,28,27
2020/4/24 08:24,7,2,-6.3,28,27
2020/4/24 08:25,7,3,-6.2,28,27
2020/4/24 08:26,7,0,-6.3,28,27
2020/4/24 08:27,4,1,-6.3,28,27
2020/4/24 08:28,8,1,-6.3,28,27
2020/4/24 08:29,7,2,-6.2,28,27
2020/4/24 08:30,6,4,-6.2,28,27
2020/4/24 08:31,7,2,-6.2,28,27
2020/4/24 08:32,5,2,-6.3,28,27
2020/4/24 08:33,6,2,-6.2,28,27
2020/4/24 08:34,7,0,-6.2,28,27
2020/4/24 08:35,7,1,-6.2,28,27
2020/4/24 08:36,8,1,-6.3,28,27
2020/4/24 08:37,6,0,-6.3,28,27
2020/4/24 08:38,8,1,-6.2,28,27
2020/4/24 08:39,8,2,-6.2,28,27
2020/4/24 08:40,8,2,-6.3,28,27
2020/4/24 08:41,6,0,-6.2,28,27
2020/4/24 08:42,8,4,-6.2,28,27
2020/4/24 08:43,6,2,-6.2,28,28
2020/4/24 08:44,7,0,-6.2,28,28
2020/4/24 08:45,8,0,-6.2,28,28
2020/4/24 08:46,8,2,-6.2,28,27
2020/4/24 08:47,7,-3,-6.2,28,27
2020/4/24 08:48,9,2,-6.2,28,27
2020/4/24 08:49,8,3,-6.2,28,27
2020/4/24 08:50,7,0,-6.3,28,27
2020/4/24 08:51,8,-2,-6.3,28,27
2020/4/24 08:52,9,-1,-6.2,28,27
2020/4/24 08:53,7,3,-6.2,28,27
2020/4/24 08:54,7,2,-6.1,28,27
2020/4/24 08:55,7,0,-6.3,28,27
2020/4/24 08:56,6,1,-6.2,28,27
2020/4/24 08:57,8,-1,-6.2,28,27
2020/4/24 08:58,9,0,-6.2,28,27
2020/4/24 08:59,10,1,-6.2,28,27
2020/4/24 09:00,7,4,-6.3,28,27
2020/4/24 09:01,5,2,-6.4,28,27
2020/4/24 09:02,7,2,-6.3,28,27
2020/4/24 09:03,9,2,-6.3,28,27
2020/4/24 09:04,7,1,-6.2,28,27
2020/4/24 09:05,5,0,-6.3,28,27
2020/4/24 09:06,8,1,-6.3,28,27
2020/4/24 09:07,6,3,-6.3,28,27
2020/4/24 09:08,5,4,-6.2,28,27
2020/4/24 09:09,8,1,-6.2,28,27
2020/4/24 09:10,5,2,-6.3,28,27
2020/4/24 09:11,9,3,-6.3,28,27
2020/4/24 09:12,6,2,-6.2,28,27
2020/4/24 09:13,11,1,-6.2,28,27
2020/4/24 09:14,6,1,-6.2,28,27
2020/4/24 09:15,8,2,-6.3,28,27
2020/4/24 09:16,10,3,-6.2,28,27
2020/4/24 09:17,5,5,-6.3,28,27
2020/4/24 09:18,6,-2,-6.2,28,27
2020/4/24 09:19,12,1,-6.1,28,27
2020/4/24 09:20,3,3,-6.2,28,27
2020/4/24 09:21,6,1,-6.2,28,27
2020/4/24 09:22,4,3,-6.2,28,27
2020/4/24 09:23,5,0,-6.2,28,27
2020/4/24 09:24,3,2,-6.2,28,27
2020/4/24 09:25,11,0,-6.2,28,27
2020/4/24 09:26,7,3,-6.2,28,27
2020/4/24 09:27,3,4,-6.2,28,27
2020/4/24 09:28,10,0,-6.2,28,27
2020/4/24 09:29,7,0,-6.2,28,27
2020/4/24 09:30,7,2,-6.2,28,27
2020/4/24 09:31,8,2,-6.2,28,27
2020/4/24 09:32,5,1,-6.2,28,27
2020/4/24 09:33,7,4,-6.1,28,27
2020/4/24 09:34,7,1,-6.2,28,27
2020/4/24 09:35,7,4,-6.2,28,27
2020/4/24 09:36,8,4,-6.2,28,27
2020/4/24 09:37,8,-2,-6.1,28,27
